EventType,used Bytes,Js Used,css Used,total Bytes,URL
domcontentloaded,no usage found,-,-,-,https://onet.hit.gemius.pl/_1547407123005/redot.js?l=97&id=zZnrq27bbF9EFcbeB1Fh1HZH.j2N5e9EGH4_4TnuylD.h7&et=data&hsrc=3&extra=_EC%3Dstreamcontent%7C_SPI%3D1547407121940%7C_SP%3DplayerYT%3AenpaomCUj64%7C_SPD%3Dhttps%3A%2F%2Fwww.onet.pl%2F%7C_SPV%3D0%7C_SPR%3D%7C_SC%3DenpaomCUj64%7C_SCT%3DOnet%20Live%7C_SCD%3D0%7C_SCTE%3Dvideo%7C_SCS%3Dnull%7C_SCTY%3D2%7CBRN%3Dgrupa%20onet%7CKAF%3DD&eventid=0&fr=3&tz=-60&fv=-&href=https%3A%2F%2Fpulsembed.eu%2Fp2em%2F1eEfCOQDO%2F&ref=https%3A%2F%2Fwww.onet.pl%2F&screen=800x600r1000&col=24&window=346x194&ltime=98&lsdata=3IjRD7L3dJ2JsPo0eqwzIWELceowe1o4R_F_GUPwayH.A7mNQ54izYPHCTO9NhyCnsb94NroI4SLzsf6pr8Il1lURfOj/2_TTjLGqhZ685/&fpdata=iwTWYIJ8V8.MgRiHCdpmZO029HwqTYj5WzCuPrEoGyn.y7&vis=1
load,no usage found,-,-,-,https://onet.hit.gemius.pl/_1547407123005/redot.js?l=97&id=zZnrq27bbF9EFcbeB1Fh1HZH.j2N5e9EGH4_4TnuylD.h7&et=data&hsrc=3&extra=_EC%3Dstreamcontent%7C_SPI%3D1547407121940%7C_SP%3DplayerYT%3AenpaomCUj64%7C_SPD%3Dhttps%3A%2F%2Fwww.onet.pl%2F%7C_SPV%3D0%7C_SPR%3D%7C_SC%3DenpaomCUj64%7C_SCT%3DOnet%20Live%7C_SCD%3D0%7C_SCTE%3Dvideo%7C_SCS%3Dnull%7C_SCTY%3D2%7CBRN%3Dgrupa%20onet%7CKAF%3DD&eventid=0&fr=3&tz=-60&fv=-&href=https%3A%2F%2Fpulsembed.eu%2Fp2em%2F1eEfCOQDO%2F&ref=https%3A%2F%2Fwww.onet.pl%2F&screen=800x600r1000&col=24&window=346x194&ltime=98&lsdata=3IjRD7L3dJ2JsPo0eqwzIWELceowe1o4R_F_GUPwayH.A7mNQ54izYPHCTO9NhyCnsb94NroI4SLzsf6pr8Il1lURfOj/2_TTjLGqhZ685/&fpdata=iwTWYIJ8V8.MgRiHCdpmZO029HwqTYj5WzCuPrEoGyn.y7&vis=1
networkidle0,1,1,0,2,  https://onet.hit.gemius.pl/_1547407123005/redot.js?l=97&id=zZnrq27bbF9EFcbeB1Fh1HZH.j2N5e9EGH4_4TnuylD.h7&et=data&hsrc=3&extra=_EC%3Dstreamcontent%7C_SPI%3D1547407121940%7C_SP%3DplayerYT%3AenpaomCUj64%7C_SPD%3Dhttps%3A%2F%2Fwww.onet.pl%2F%7C_SPV%3D0%7C_SPR%3D%7C_SC%3DenpaomCUj64%7C_SCT%3DOnet%20Live%7C_SCD%3D0%7C_SCTE%3Dvideo%7C_SCS%3Dnull%7C_SCTY%3D2%7CBRN%3Dgrupa%20onet%7CKAF%3DD&eventid=0&fr=3&tz=-60&fv=-&href=https%3A%2F%2Fpulsembed.eu%2Fp2em%2F1eEfCOQDO%2F&ref=https%3A%2F%2Fwww.onet.pl%2F&screen=800x600r1000&col=24&window=346x194&ltime=98&lsdata=3IjRD7L3dJ2JsPo0eqwzIWELceowe1o4R_F_GUPwayH.A7mNQ54izYPHCTO9NhyCnsb94NroI4SLzsf6pr8Il1lURfOj/2_TTjLGqhZ685/&fpdata=iwTWYIJ8V8.MgRiHCdpmZO029HwqTYj5WzCuPrEoGyn.y7&vis=1
domcontentloaded,no usage found,-,-,-,https://onet.hit.gemius.pl/_1547407123173/redot.js?l=97&id=zZnrq27bbF9EFcbeB1Fh1HZH.j2N5e9EGH4_4TnuylD.h7&et=stream&hsrc=3&extra=_EC%3Dbuffering%7C_SPI%3D1547407121940%7C_SP%3DplayerYT%3AenpaomCUj64%7C_SPD%3Dhttps%3A%2F%2Fwww.onet.pl%2F%7C_SPV%3D0%7C_SPR%3D%7C_SC%3DenpaomCUj64%7C_SCT%3DOnet%20Live%7C_SCD%3D0%7C_SCTE%3Dvideo%7C_SCS%3Dnull%7C_SCTY%3D2%7CBRN%3Dgrupa%20onet%7CKAF%3DD%7C_SED%3D0%7C_SCO%3D0&eventid=0&fr=3&tz=-60&fv=-&href=https%3A%2F%2Fpulsembed.eu%2Fp2em%2F1eEfCOQDO%2F&ref=https%3A%2F%2Fwww.onet.pl%2F&screen=800x600r1000&col=24&window=346x194&ltime=98&lsdata=3IjRD7L3dJ2JsPo0eqwzIWELceowe1o4R_F_GUPwayH.A7mNQ54izYPHCTO9NhyCnsb94NroI4SLzsf6pr8Il1lURfOj/2_TTjLGqhZ685/&fpdata=iwTWYIJ8V8.MgRiHCdpmZO029HwqTYj5WzCuPrEoGyn.y7&vis=1
load,no usage found,-,-,-,https://onet.hit.gemius.pl/_1547407123173/redot.js?l=97&id=zZnrq27bbF9EFcbeB1Fh1HZH.j2N5e9EGH4_4TnuylD.h7&et=stream&hsrc=3&extra=_EC%3Dbuffering%7C_SPI%3D1547407121940%7C_SP%3DplayerYT%3AenpaomCUj64%7C_SPD%3Dhttps%3A%2F%2Fwww.onet.pl%2F%7C_SPV%3D0%7C_SPR%3D%7C_SC%3DenpaomCUj64%7C_SCT%3DOnet%20Live%7C_SCD%3D0%7C_SCTE%3Dvideo%7C_SCS%3Dnull%7C_SCTY%3D2%7CBRN%3Dgrupa%20onet%7CKAF%3DD%7C_SED%3D0%7C_SCO%3D0&eventid=0&fr=3&tz=-60&fv=-&href=https%3A%2F%2Fpulsembed.eu%2Fp2em%2F1eEfCOQDO%2F&ref=https%3A%2F%2Fwww.onet.pl%2F&screen=800x600r1000&col=24&window=346x194&ltime=98&lsdata=3IjRD7L3dJ2JsPo0eqwzIWELceowe1o4R_F_GUPwayH.A7mNQ54izYPHCTO9NhyCnsb94NroI4SLzsf6pr8Il1lURfOj/2_TTjLGqhZ685/&fpdata=iwTWYIJ8V8.MgRiHCdpmZO029HwqTYj5WzCuPrEoGyn.y7&vis=1
networkidle0,1,1,0,2,  https://onet.hit.gemius.pl/_1547407123173/redot.js?l=97&id=zZnrq27bbF9EFcbeB1Fh1HZH.j2N5e9EGH4_4TnuylD.h7&et=stream&hsrc=3&extra=_EC%3Dbuffering%7C_SPI%3D1547407121940%7C_SP%3DplayerYT%3AenpaomCUj64%7C_SPD%3Dhttps%3A%2F%2Fwww.onet.pl%2F%7C_SPV%3D0%7C_SPR%3D%7C_SC%3DenpaomCUj64%7C_SCT%3DOnet%20Live%7C_SCD%3D0%7C_SCTE%3Dvideo%7C_SCS%3Dnull%7C_SCTY%3D2%7CBRN%3Dgrupa%20onet%7CKAF%3DD%7C_SED%3D0%7C_SCO%3D0&eventid=0&fr=3&tz=-60&fv=-&href=https%3A%2F%2Fpulsembed.eu%2Fp2em%2F1eEfCOQDO%2F&ref=https%3A%2F%2Fwww.onet.pl%2F&screen=800x600r1000&col=24&window=346x194&ltime=98&lsdata=3IjRD7L3dJ2JsPo0eqwzIWELceowe1o4R_F_GUPwayH.A7mNQ54izYPHCTO9NhyCnsb94NroI4SLzsf6pr8Il1lURfOj/2_TTjLGqhZ685/&fpdata=iwTWYIJ8V8.MgRiHCdpmZO029HwqTYj5WzCuPrEoGyn.y7&vis=1
domcontentloaded,no usage found,-,-,-,https://onet.hit.gemius.pl/__/_1547407130069/rexdot.js?l=90&id=bPo6D0bzSxcue3osfkZZIJaE.l0RyeOgSEhsufRYys3.W7&et=view&hsrc=1&initsonar=1&extra=&eventid=0&fr=1&tz=-60&fv=-&href=https%3A%2F%2Fwww.onet.pl%2F&ref=&screen=800x600r1000&col=24&window=800x600&ltime=374&lsdata=OgLHXCdv1ftcDuANOBahCUikX3b77BeBmBcD2bGpi0..073EZvVJ50Hh9c03EeLA9CXj1ZWpR6zD1erF4jvRgdCH5UIH/9IUBOuaCpltdz/&fpdata=lb.HXxl3nzWw_jxiI6CIm0DrN3eQyxfs2a5a4_6jvib.a7&vis=1
load,168,168,0,169,  https://onet.hit.gemius.pl/__/_1547407130069/rexdot.js?l=90&id=bPo6D0bzSxcue3osfkZZIJaE.l0RyeOgSEhsufRYys3.W7&et=view&hsrc=1&initsonar=1&extra=&eventid=0&fr=1&tz=-60&fv=-&href=https%3A%2F%2Fwww.onet.pl%2F&ref=&screen=800x600r1000&col=24&window=800x600&ltime=374&lsdata=OgLHXCdv1ftcDuANOBahCUikX3b77BeBmBcD2bGpi0..073EZvVJ50Hh9c03EeLA9CXj1ZWpR6zD1erF4jvRgdCH5UIH/9IUBOuaCpltdz/&fpdata=lb.HXxl3nzWw_jxiI6CIm0DrN3eQyxfs2a5a4_6jvib.a7&vis=1
networkidle0,no usage found,-,-,-,https://onet.hit.gemius.pl/__/_1547407130069/rexdot.js?l=90&id=bPo6D0bzSxcue3osfkZZIJaE.l0RyeOgSEhsufRYys3.W7&et=view&hsrc=1&initsonar=1&extra=&eventid=0&fr=1&tz=-60&fv=-&href=https%3A%2F%2Fwww.onet.pl%2F&ref=&screen=800x600r1000&col=24&window=800x600&ltime=374&lsdata=OgLHXCdv1ftcDuANOBahCUikX3b77BeBmBcD2bGpi0..073EZvVJ50Hh9c03EeLA9CXj1ZWpR6zD1erF4jvRgdCH5UIH/9IUBOuaCpltdz/&fpdata=lb.HXxl3nzWw_jxiI6CIm0DrN3eQyxfs2a5a4_6jvib.a7&vis=1
domcontentloaded,no usage found,-,-,-,https://csr.onet.pl/_s/csr-006/csr.js?site=GLOWNA&area=NOWASG&kwrd=SEGR%2BBETA2%2BWARSZAWA%2BVER4%2BV2017%2BLAZY_ADS%2BTOPNEW&lu=201901132018505548101667&slot0=flat-config&id0=onet-ad-flat-config&ver=20190107_1130&kvlayout=std&kvcity=WARSZAWA&kvismobile=0&kvistv=0&kvcwidth=800&kvflash=0&kvhtml5c=1&kvIV=201901132018499483695511&kvIP=201901132018499483695511&kvseg_rand=36&kvseg_ab=21&kvismvp=0&kvadtype=expand&kvscr_width=low&AC=76e4c5c3b8f1a15e&callback=onetShowAsynchAds1
load,2425,2425,0,2426,  https://csr.onet.pl/_s/csr-006/csr.js?site=GLOWNA&area=NOWASG&kwrd=SEGR%2BBETA2%2BWARSZAWA%2BVER4%2BV2017%2BLAZY_ADS%2BTOPNEW&lu=201901132018505548101667&slot0=flat-config&id0=onet-ad-flat-config&ver=20190107_1130&kvlayout=std&kvcity=WARSZAWA&kvismobile=0&kvistv=0&kvcwidth=800&kvflash=0&kvhtml5c=1&kvIV=201901132018499483695511&kvIP=201901132018499483695511&kvseg_rand=36&kvseg_ab=21&kvismvp=0&kvadtype=expand&kvscr_width=low&AC=76e4c5c3b8f1a15e&callback=onetShowAsynchAds1
networkidle0,no usage found,-,-,-,https://csr.onet.pl/_s/csr-006/csr.js?site=GLOWNA&area=NOWASG&kwrd=SEGR%2BBETA2%2BWARSZAWA%2BVER4%2BV2017%2BLAZY_ADS%2BTOPNEW&lu=201901132018505548101667&slot0=flat-config&id0=onet-ad-flat-config&ver=20190107_1130&kvlayout=std&kvcity=WARSZAWA&kvismobile=0&kvistv=0&kvcwidth=800&kvflash=0&kvhtml5c=1&kvIV=201901132018499483695511&kvIP=201901132018499483695511&kvseg_rand=36&kvseg_ab=21&kvismvp=0&kvadtype=expand&kvscr_width=low&AC=76e4c5c3b8f1a15e&callback=onetShowAsynchAds1
domcontentloaded,no usage found,-,-,-,https://securepubads.g.doubleclick.net/gpt/pubads_impl_289.js?21062969
load,36800,36800,0,188334,  https://securepubads.g.doubleclick.net/gpt/pubads_impl_289.js?21062969
networkidle0,no usage found,-,-,-,https://securepubads.g.doubleclick.net/gpt/pubads_impl_289.js?21062969
domcontentloaded,no usage found,-,-,-,https://onet.hit.gemius.pl/__/_1547407130093/rexdot.js?l=90&id=bPo6D0bzSxcue3osfkZZIJaE.l0RyeOgSEhsufRYys3.W7&et=view&hsrc=1&initsonar=1&extra=&eventid=0&fr=1&tz=-60&fv=-&href=https%3A%2F%2Fwww.onet.pl%2F&ref=&screen=800x600r1000&col=24&window=800x600&ltime=383&lsdata=j_rBkhwte0T7mCfGwXwLX1ixbv.Ly7eFK7MgFCxYT6n.C7pst_JQaC6JGVrJFxOIdV0yQjeybuMdtBIdN2tJRoGqjv1Y/1Nt5vpG4JPoj3/&fpdata=lb.HXxl3nzWw_jxiI6CIm0DrN3eQyxfs2a5a4_6jvib.a7&vis=1
load,no usage found,-,-,-,https://onet.hit.gemius.pl/__/_1547407130093/rexdot.js?l=90&id=bPo6D0bzSxcue3osfkZZIJaE.l0RyeOgSEhsufRYys3.W7&et=view&hsrc=1&initsonar=1&extra=&eventid=0&fr=1&tz=-60&fv=-&href=https%3A%2F%2Fwww.onet.pl%2F&ref=&screen=800x600r1000&col=24&window=800x600&ltime=383&lsdata=j_rBkhwte0T7mCfGwXwLX1ixbv.Ly7eFK7MgFCxYT6n.C7pst_JQaC6JGVrJFxOIdV0yQjeybuMdtBIdN2tJRoGqjv1Y/1Nt5vpG4JPoj3/&fpdata=lb.HXxl3nzWw_jxiI6CIm0DrN3eQyxfs2a5a4_6jvib.a7&vis=1
networkidle0,168,168,0,169,  https://onet.hit.gemius.pl/__/_1547407130093/rexdot.js?l=90&id=bPo6D0bzSxcue3osfkZZIJaE.l0RyeOgSEhsufRYys3.W7&et=view&hsrc=1&initsonar=1&extra=&eventid=0&fr=1&tz=-60&fv=-&href=https%3A%2F%2Fwww.onet.pl%2F&ref=&screen=800x600r1000&col=24&window=800x600&ltime=383&lsdata=j_rBkhwte0T7mCfGwXwLX1ixbv.Ly7eFK7MgFCxYT6n.C7pst_JQaC6JGVrJFxOIdV0yQjeybuMdtBIdN2tJRoGqjv1Y/1Nt5vpG4JPoj3/&fpdata=lb.HXxl3nzWw_jxiI6CIm0DrN3eQyxfs2a5a4_6jvib.a7&vis=1
domcontentloaded,no usage found,-,-,-,https://csr.onet.pl/_s/csr-006/csr.js?site=GLOWNA&area=NOWASG&kwrd=SEGG%2BBETA2%2BWARSZAWA%2BVER4%2BV2017%2BLAZY_ADS%2BTOPNEW&lu=201901132018501562101993&slot0=flat-config&id0=onet-ad-flat-config&ver=20190107_1130&kvlayout=std&kvcity=WARSZAWA&kvismobile=0&kvistv=0&kvcwidth=800&kvflash=0&kvhtml5c=1&kvIV=201901132018497647964696&kvIP=201901132018497647964696&kvseg_rand=76&kvseg_ab=52&kvismvp=0&kvadtype=expand&kvscr_width=low&AC=6b23f5c3b8f1a10e&callback=onetShowAsynchAds1
load,no usage found,-,-,-,https://csr.onet.pl/_s/csr-006/csr.js?site=GLOWNA&area=NOWASG&kwrd=SEGG%2BBETA2%2BWARSZAWA%2BVER4%2BV2017%2BLAZY_ADS%2BTOPNEW&lu=201901132018501562101993&slot0=flat-config&id0=onet-ad-flat-config&ver=20190107_1130&kvlayout=std&kvcity=WARSZAWA&kvismobile=0&kvistv=0&kvcwidth=800&kvflash=0&kvhtml5c=1&kvIV=201901132018497647964696&kvIP=201901132018497647964696&kvseg_rand=76&kvseg_ab=52&kvismvp=0&kvadtype=expand&kvscr_width=low&AC=6b23f5c3b8f1a10e&callback=onetShowAsynchAds1
networkidle0,2425,2425,0,2426,  https://csr.onet.pl/_s/csr-006/csr.js?site=GLOWNA&area=NOWASG&kwrd=SEGG%2BBETA2%2BWARSZAWA%2BVER4%2BV2017%2BLAZY_ADS%2BTOPNEW&lu=201901132018501562101993&slot0=flat-config&id0=onet-ad-flat-config&ver=20190107_1130&kvlayout=std&kvcity=WARSZAWA&kvismobile=0&kvistv=0&kvcwidth=800&kvflash=0&kvhtml5c=1&kvIV=201901132018497647964696&kvIP=201901132018497647964696&kvseg_rand=76&kvseg_ab=52&kvismvp=0&kvadtype=expand&kvscr_width=low&AC=6b23f5c3b8f1a10e&callback=onetShowAsynchAds1
domcontentloaded,no usage found,-,-,-,https://authorisation.grupaonet.pl/loginbar.js?appid=www.onet.pl.front&url=https%3A%2F%2Fwww.onet.pl%2F&body%5Bparams%5D%5Bfields%5D=login%2Ccounter%2Cavatar%2Csignature%2Chash%2Cdate%2CuserId%2ClastVisitCounter%2ClastVisit%2CsecondaryId%2CsecondaryIdHash&body%5Bparams%5D%5Bnts%5D=1547407130816&callback=JSONPLoader.callbacks.success1
load,no usage found,-,-,-,https://authorisation.grupaonet.pl/loginbar.js?appid=www.onet.pl.front&url=https%3A%2F%2Fwww.onet.pl%2F&body%5Bparams%5D%5Bfields%5D=login%2Ccounter%2Cavatar%2Csignature%2Chash%2Cdate%2CuserId%2ClastVisitCounter%2ClastVisit%2CsecondaryId%2CsecondaryIdHash&body%5Bparams%5D%5Bnts%5D=1547407130816&callback=JSONPLoader.callbacks.success1
networkidle0,254,254,0,255,  https://authorisation.grupaonet.pl/loginbar.js?appid=www.onet.pl.front&url=https%3A%2F%2Fwww.onet.pl%2F&body%5Bparams%5D%5Bfields%5D=login%2Ccounter%2Cavatar%2Csignature%2Chash%2Cdate%2CuserId%2ClastVisitCounter%2ClastVisit%2CsecondaryId%2CsecondaryIdHash&body%5Bparams%5D%5Bnts%5D=1547407130816&callback=JSONPLoader.callbacks.success1
domcontentloaded,no usage found,-,-,-,https://www.google.com/js/bg/qdUMtk3h9NPeMnxL_ueP0gGNIaopftyIbOMunPoqFCM.js
load,no usage found,-,-,-,https://www.google.com/js/bg/qdUMtk3h9NPeMnxL_ueP0gGNIaopftyIbOMunPoqFCM.js
networkidle0,11950,11950,0,11951,  https://www.google.com/js/bg/qdUMtk3h9NPeMnxL_ueP0gGNIaopftyIbOMunPoqFCM.js
domcontentloaded,no usage found,-,-,-,https://onet.hit.gemius.pl/_1547407133111/redot.js?l=97&id=zZnrq27bbF9EFcbeB1Fh1HZH.j2N5e9EGH4_4TnuylD.h7&et=data&hsrc=3&extra=_EC%3Dstreamcontent%7C_SPI%3D1547407132198%7C_SP%3DplayerYT%3AenpaomCUj64%7C_SPD%3Dhttps%3A%2F%2Fwww.onet.pl%2F%7C_SPV%3D0%7C_SPR%3D%7C_SC%3DenpaomCUj64%7C_SCT%3DOnet%20Live%7C_SCD%3D0%7C_SCTE%3Dvideo%7C_SCS%3Dnull%7C_SCTY%3D2%7CBRN%3Dgrupa%20onet%7CKAF%3DD&eventid=0&fr=3&tz=-60&fv=-&href=https%3A%2F%2Fpulsembed.eu%2Fp2em%2F1eEfCOQDO%2F&ref=https%3A%2F%2Fwww.onet.pl%2F&screen=800x600r1000&col=24&window=346x194&ltime=502&lsdata=jz5hqxwv2_b8RheuPtfGT.j9z.Fj6shwaAm9zPHrpaT.a7xHL2e8ZpgUV_wL8ImOc1T4UO8LTKFU3Bu6cPoWqR_f_1xW/PcTvtbvxgoDsQ/&fpdata=U4bXM7nOkVN4wOGZL4U_yVB7aytlSu8QZp14G4BGf43.H7&vis=1
load,no usage found,-,-,-,https://onet.hit.gemius.pl/_1547407133111/redot.js?l=97&id=zZnrq27bbF9EFcbeB1Fh1HZH.j2N5e9EGH4_4TnuylD.h7&et=data&hsrc=3&extra=_EC%3Dstreamcontent%7C_SPI%3D1547407132198%7C_SP%3DplayerYT%3AenpaomCUj64%7C_SPD%3Dhttps%3A%2F%2Fwww.onet.pl%2F%7C_SPV%3D0%7C_SPR%3D%7C_SC%3DenpaomCUj64%7C_SCT%3DOnet%20Live%7C_SCD%3D0%7C_SCTE%3Dvideo%7C_SCS%3Dnull%7C_SCTY%3D2%7CBRN%3Dgrupa%20onet%7CKAF%3DD&eventid=0&fr=3&tz=-60&fv=-&href=https%3A%2F%2Fpulsembed.eu%2Fp2em%2F1eEfCOQDO%2F&ref=https%3A%2F%2Fwww.onet.pl%2F&screen=800x600r1000&col=24&window=346x194&ltime=502&lsdata=jz5hqxwv2_b8RheuPtfGT.j9z.Fj6shwaAm9zPHrpaT.a7xHL2e8ZpgUV_wL8ImOc1T4UO8LTKFU3Bu6cPoWqR_f_1xW/PcTvtbvxgoDsQ/&fpdata=U4bXM7nOkVN4wOGZL4U_yVB7aytlSu8QZp14G4BGf43.H7&vis=1
networkidle0,1,1,0,2,  https://onet.hit.gemius.pl/_1547407133111/redot.js?l=97&id=zZnrq27bbF9EFcbeB1Fh1HZH.j2N5e9EGH4_4TnuylD.h7&et=data&hsrc=3&extra=_EC%3Dstreamcontent%7C_SPI%3D1547407132198%7C_SP%3DplayerYT%3AenpaomCUj64%7C_SPD%3Dhttps%3A%2F%2Fwww.onet.pl%2F%7C_SPV%3D0%7C_SPR%3D%7C_SC%3DenpaomCUj64%7C_SCT%3DOnet%20Live%7C_SCD%3D0%7C_SCTE%3Dvideo%7C_SCS%3Dnull%7C_SCTY%3D2%7CBRN%3Dgrupa%20onet%7CKAF%3DD&eventid=0&fr=3&tz=-60&fv=-&href=https%3A%2F%2Fpulsembed.eu%2Fp2em%2F1eEfCOQDO%2F&ref=https%3A%2F%2Fwww.onet.pl%2F&screen=800x600r1000&col=24&window=346x194&ltime=502&lsdata=jz5hqxwv2_b8RheuPtfGT.j9z.Fj6shwaAm9zPHrpaT.a7xHL2e8ZpgUV_wL8ImOc1T4UO8LTKFU3Bu6cPoWqR_f_1xW/PcTvtbvxgoDsQ/&fpdata=U4bXM7nOkVN4wOGZL4U_yVB7aytlSu8QZp14G4BGf43.H7&vis=1
domcontentloaded,no usage found,-,-,-,https://onet.hit.gemius.pl/_1547407133245/redot.js?l=97&id=zZnrq27bbF9EFcbeB1Fh1HZH.j2N5e9EGH4_4TnuylD.h7&et=stream&hsrc=3&extra=_EC%3Dbuffering%7C_SPI%3D1547407132198%7C_SP%3DplayerYT%3AenpaomCUj64%7C_SPD%3Dhttps%3A%2F%2Fwww.onet.pl%2F%7C_SPV%3D0%7C_SPR%3D%7C_SC%3DenpaomCUj64%7C_SCT%3DOnet%20Live%7C_SCD%3D0%7C_SCTE%3Dvideo%7C_SCS%3Dnull%7C_SCTY%3D2%7CBRN%3Dgrupa%20onet%7CKAF%3DD%7C_SED%3D0%7C_SCO%3D0&eventid=0&fr=3&tz=-60&fv=-&href=https%3A%2F%2Fpulsembed.eu%2Fp2em%2F1eEfCOQDO%2F&ref=https%3A%2F%2Fwww.onet.pl%2F&screen=800x600r1000&col=24&window=346x194&ltime=502&lsdata=jz5hqxwv2_b8RheuPtfGT.j9z.Fj6shwaAm9zPHrpaT.a7xHL2e8ZpgUV_wL8ImOc1T4UO8LTKFU3Bu6cPoWqR_f_1xW/PcTvtbvxgoDsQ/&fpdata=U4bXM7nOkVN4wOGZL4U_yVB7aytlSu8QZp14G4BGf43.H7&vis=1
load,no usage found,-,-,-,https://onet.hit.gemius.pl/_1547407133245/redot.js?l=97&id=zZnrq27bbF9EFcbeB1Fh1HZH.j2N5e9EGH4_4TnuylD.h7&et=stream&hsrc=3&extra=_EC%3Dbuffering%7C_SPI%3D1547407132198%7C_SP%3DplayerYT%3AenpaomCUj64%7C_SPD%3Dhttps%3A%2F%2Fwww.onet.pl%2F%7C_SPV%3D0%7C_SPR%3D%7C_SC%3DenpaomCUj64%7C_SCT%3DOnet%20Live%7C_SCD%3D0%7C_SCTE%3Dvideo%7C_SCS%3Dnull%7C_SCTY%3D2%7CBRN%3Dgrupa%20onet%7CKAF%3DD%7C_SED%3D0%7C_SCO%3D0&eventid=0&fr=3&tz=-60&fv=-&href=https%3A%2F%2Fpulsembed.eu%2Fp2em%2F1eEfCOQDO%2F&ref=https%3A%2F%2Fwww.onet.pl%2F&screen=800x600r1000&col=24&window=346x194&ltime=502&lsdata=jz5hqxwv2_b8RheuPtfGT.j9z.Fj6shwaAm9zPHrpaT.a7xHL2e8ZpgUV_wL8ImOc1T4UO8LTKFU3Bu6cPoWqR_f_1xW/PcTvtbvxgoDsQ/&fpdata=U4bXM7nOkVN4wOGZL4U_yVB7aytlSu8QZp14G4BGf43.H7&vis=1
networkidle0,1,1,0,2,  https://onet.hit.gemius.pl/_1547407133245/redot.js?l=97&id=zZnrq27bbF9EFcbeB1Fh1HZH.j2N5e9EGH4_4TnuylD.h7&et=stream&hsrc=3&extra=_EC%3Dbuffering%7C_SPI%3D1547407132198%7C_SP%3DplayerYT%3AenpaomCUj64%7C_SPD%3Dhttps%3A%2F%2Fwww.onet.pl%2F%7C_SPV%3D0%7C_SPR%3D%7C_SC%3DenpaomCUj64%7C_SCT%3DOnet%20Live%7C_SCD%3D0%7C_SCTE%3Dvideo%7C_SCS%3Dnull%7C_SCTY%3D2%7CBRN%3Dgrupa%20onet%7CKAF%3DD%7C_SED%3D0%7C_SCO%3D0&eventid=0&fr=3&tz=-60&fv=-&href=https%3A%2F%2Fpulsembed.eu%2Fp2em%2F1eEfCOQDO%2F&ref=https%3A%2F%2Fwww.onet.pl%2F&screen=800x600r1000&col=24&window=346x194&ltime=502&lsdata=jz5hqxwv2_b8RheuPtfGT.j9z.Fj6shwaAm9zPHrpaT.a7xHL2e8ZpgUV_wL8ImOc1T4UO8LTKFU3Bu6cPoWqR_f_1xW/PcTvtbvxgoDsQ/&fpdata=U4bXM7nOkVN4wOGZL4U_yVB7aytlSu8QZp14G4BGf43.H7&vis=1
